"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Wars1",253.857913792993,2.04440071436107,0.21666309922825,9.43585096697678,3.87833199150133e-21,1.50551003848177e-19
"Eeig2",268.536520075126,3.27447203685846,0.34747155005542,9.42371263585812,4.35413845884507e-21,1.68444230139962e-19
"Il27",773.601556953853,7.7127475757206,0.819694034407206,9.40930060726668,4.99449102989811e-21,1.92559713686718e-19
"Lgals3bp",1740.74480937212,1.95877775455098,0.208419638968847,9.39823984074628,5.54834348522905e-21,2.1318804544092e-19
"Cd44",495.670541123905,1.76729834198467,0.188507302007222,9.37522484893964,6.90284820311259e-21,2.64337109399599e-19
"Tor3a",1107.09960850674,3.15275991272118,0.336533608396896,9.36833598207202,7.36850078372399e-21,2.81218708361991e-19
"Trafd1",523.683168203139,1.84481026706481,0.196957545069173,9.36653767905613,7.49508582599257e-21,2.85089925629617e-19
"Cd300lb",223.153587414966,-2.56157667033506,0.273578033931241,-9.36323956103459,7.73285907209293e-21,2.931503598066e-19
"N4bp1",238.264818223732,2.62876610885241,0.280875825641698,9.3591753681423,8.0361425073454e-21,3.036322510692e-19
"Sash3",51.5277704640709,-2.97054476957123,0.317556469862074,-9.35438276808356,8.40892467170825e-21,3.16661664962834e-19
"Azi2",245.34945689808,2.25000492383666,0.241300796977852,9.32448194128089,1.11527086707937e-20,4.18595870143864e-19
"Rsad2",2583.33805498339,7.06502090302183,0.758347004958691,9.31634312105798,1.20419182449826e-20,4.50479020814779e-19
"Rnf31",152.179528173378,3.13524308351115,0.336552080384844,9.315773891298,1.21066694676273e-20,4.51411507945906e-19
"Aldh1b1",304.987243326977,2.3996886951477,0.258266442207043,9.2915234152796,1.52095564693955e-20,5.6524695928065e-19
"Parp11",100.299417895432,2.90820177903095,0.313018284382847,9.29083674701247,1.53080095062565e-20,5.67046692004633e-19
"Zfp36",242.31155353082,1.89172814870652,0.20407597837145,9.26972475546969,1.86626897140863e-20,6.89060546935402e-19
"Map2k1",436.43587840206,2.18657790364499,0.235967891453145,9.26642133461269,1.92496186637145e-20,7.08423466081831e-19
"Ppp1r15b",466.341541803581,1.96384628018943,0.21194345928728,9.26589707836901,1.93444280724403e-20,7.09608712624954e-19
"H3f3b",1139.65999409758,1.46210292201533,0.157961532401492,9.25606949861121,2.12096282328684e-20,7.75519793611494e-19
